"1","audxpfd","2/2/2015","K-Bowl","0"
"2","audxpfd","3/23/2015","Miga","1"
"3","audxpfd","3/28/2015","Seven Saints","0"
"4","audxpfd","4/7/2015","Potbelly Sandwich Shop","1"
"5","audxpfd","4/15/2015","Caffe Paradiso","1"
"6","audxpfd","4/29/2015","Bangkok Thai and Pho 911","0"
"7","audxpfd","5/23/2015","Dublin O’Neil’s","1"
"8","audxpfd","5/26/2015","Cheese and Crackers","1"
"9","audxpfd","5/27/2015","Cheese and Crackers","0"
"10","audxpfd","6/22/2015","South China Restaurant","0"
"11","audxpfd","7/12/2015","Bangkok Thai and Pho 911","1"
"12","audxpfd","7/15/2015","Dublin O’Neil’s","0"
"13","audxpfd","8/26/2015","K-Bowl","1"
"14","audxpfd","9/5/2015","Cactus Grill","1"
"15","audxpfd","9/16/2015","Cactus Grill","0"
"16","audxpfd","9/29/2015","Silvercreek","0"
"17","audxpfd","10/23/2015","Manolo’s Pizza &amp; Empanadas","1"
"18","audxpfd","10/26/2015","Jet’s Pizza","0"
"19","audxpfd","11/30/2015","Home of Gourmet Chinese &amp; Thai Restaurant","1"
"20","audxpfd","12/28/2015","Manolo’s Pizza &amp; Empanadas","0"
"21","audxpfd","1/9/2016","Burrito King","1"
"22","audxpfd","1/9/2016","Home of Gourmet Chinese &amp; Thai Restaurant","0"
"23","audxpfd","1/13/2016","Kofusion","1"
"24","audxpfd","2/7/2016","Huaraches Moroleon","1"
"25","audxpfd","2/12/2016","Bunny’s Tavern","0"
"26","audxpfd","3/9/2016","Burrito King","1"
"27","audxpfd","3/29/2016","Mandarin Wok","-1"
"28","audxpfd","4/22/2016","Miga","0"
"29","audxpfd","4/26/2016","Miga","1"
"30","audxpfd","4/28/2016","Sushi Kame","0"
"31","audxpfd","5/7/2016","South China Restaurant","-1"
"32","audxpfd","6/1/2016","Mandarin Wok","0"
"33","audxpfd","6/7/2016","Cactus Grill","1"
"34","audxpfd","6/10/2016","The Clark Bar","1"
"35","audxpfd","6/24/2016","The Clark Bar","1"
"36","audxpfd","7/18/2016","Silvercreek","0"
"37","audxpfd","10/14/2016","Sushi Kame","1"
"38","audxpfd","10/24/2016","Huaraches Moroleon","1"
"39","audxpfd","11/12/2016","Silvercreek","1"
"40","audxpfd","12/5/2016","Cactus Grill","0"
"41","audxpfd","12/14/2016","Dublin O’Neil’s","1"
"42","audxpfd","12/17/2016","Silvercreek","1"
"43","bdglln","1/2/2015","Murphy’s Pub","0"
"44","bdglln","1/19/2015","Sakanaya Restaurant","0"
"45","bdglln","1/28/2015","Murphy’s Pub","-1"
"46","bdglln","2/17/2015","Destihl Restaurant &amp; Brew Works","1"
"47","bdglln","2/22/2015","Esquire Lounge","0"
"48","bdglln","2/27/2015","Cheese and Crackers","0"
"49","bdglln","3/12/2015","Pekara Bakery and Bistro","1"
"50","bdglln","3/21/2015","The Dancing Dog Eatery &amp; Juicery","1"
"51","bdglln","3/23/2015","Destihl Restaurant &amp; Brew Works","1"
"52","bdglln","4/9/2015","Murphy’s Pub","1"
"53","bdglln","4/14/2015","Cheese and Crackers","0"
"54","bdglln","5/7/2015","Firehaus","0"
"55","bdglln","5/9/2015","Bombay Indian Grill","0"
"56","bdglln","6/3/2015","Seven Saints","0"
"57","bdglln","6/14/2015","V Picasso","1"
"58","bdglln","8/4/2015","Wedge Tequila Bar &amp; Grill","1"
"59","bdglln","9/8/2015","V Picasso","1"
"60","bdglln","9/10/2015","Sitara","1"
"61","bdglln","9/20/2015","Lai Lai Wok","0"
"62","bdglln","9/30/2015","Bunny’s Tavern","1"
"63","bdglln","10/4/2015","Zorba’s Restaurant","1"
"64","bdglln","10/6/2015","The Dancing Dog Eatery &amp; Juicery","0"
"65","bdglln","10/25/2015","Sakanaya Restaurant","1"
"66","bdglln","10/30/2015","Esquire Lounge","0"
"67","bdglln","11/3/2015","Bombay Indian Grill","1"
"68","bdglln","11/23/2015","Dos Reales","1"
"69","bdglln","11/30/2015","Bunny’s Tavern","0"
"70","bdglln","12/10/2015","Bombay Indian Grill","0"
"71","bdglln","12/15/2015","The Dancing Dog Eatery &amp; Juicery","1"
"72","bdglln","1/26/2016","Masijta Grill","0"
"73","bdglln","3/1/2016","Dos Reales","0"
"74","bdglln","3/4/2016","Firehaus","1"
"75","bdglln","3/10/2016","Pekara Bakery and Bistro","-1"
"76","bdglln","3/15/2016","Seven Saints","1"
"77","bdglln","3/17/2016","Masijta Grill","1"
"78","bdglln","3/21/2016","Golden Harbor Authentic Chinese Cuisine","0"
"79","bdglln","3/27/2016","J Gumbo’s","0"
"80","bdglln","4/13/2016","J Gumbo’s","0"
"81","bdglln","5/3/2016","The Dancing Dog Eatery &amp; Juicery","0"
"82","bdglln","5/10/2016","Home of Gourmet Chinese &amp; Thai Restaurant","0"
"83","bdglln","5/17/2016","Golden Wok","1"
"84","bdglln","5/18/2016","Firehaus","0"
"85","bdglln","5/20/2016","Golden Wok","0"
"86","bdglln","6/5/2016","Esquire Lounge","0"
"87","bdglln","7/2/2016","Cafe Sababa","0"
"88","bdglln","7/3/2016","J Gumbo’s","1"
"89","bdglln","8/3/2016","Golden Harbor Authentic Chinese Cuisine","0"
"90","bdglln","8/6/2016","Bunny’s Tavern","0"
"91","bdglln","8/10/2016","V Picasso","0"
"92","bdglln","8/19/2016","Huaraches Moroleon","0"
"93","bdglln","9/2/2016","Sitara","0"
"94","bdglln","9/21/2016","Firehaus","0"
"95","bdglln","9/21/2016","Pekara Bakery and Bistro","-1"
"96","bdglln","9/23/2016","Huaraches Moroleon","1"
"97","bdglln","9/24/2016","Firehaus","1"
"98","bdglln","9/27/2016","Esquire Lounge","1"
"99","bdglln","10/2/2016","Esquire Lounge","0"
"100","bdglln","10/10/2016","Cheese and Crackers","1"
"101","bdglln","10/24/2016","Golden Harbor Authentic Chinese Cuisine","1"
"102","bdglln","11/6/2016","Seven Saints","0"
"103","bdglln","11/8/2016","Destihl Restaurant &amp; Brew Works","1"
"104","bdglln","11/19/2016","V Picasso","0"
"105","bdglln","11/27/2016","Sitara","0"
"106","bdglln","12/13/2016","Bombay Indian Grill","0"
"107","bdglln","12/30/2016","Seven Saints","0"
"108","bdglln","2/30/2016","Golden Wok","1"
"109","bis","1/9/2015","A-Ri-Rang","1"
"110","bis","1/13/2015","Rainbow Garden","1"
"111","bis","2/5/2015","Rainbow Garden","1"
"112","bis","2/22/2015","Bangkok Thai and Pho 911","0"
"113","bis","3/1/2015","A-Ri-Rang","0"
"114","bis","4/21/2015","A-Ri-Rang","0"
"115","bis","5/9/2015","Jerusalem Middle Eastern Cuisine","-1"
"116","bis","5/14/2015","Rainbow Garden","1"
"117","bis","6/9/2015","J Gumbo’s","1"
"118","bis","7/3/2015","Nando Milano Trattoria","-1"
"119","bis","7/11/2015","Rainbow Garden","0"
"120","bis","8/18/2015","Rainbow Garden","1"
"121","bis","9/1/2015","J Gumbo’s","1"
"122","bis","10/30/2015","J Gumbo’s","1"
"123","bis","11/4/2015","A-Ri-Rang","0"
"124","bis","11/24/2015","J Gumbo’s","1"
"125","bis","12/16/2015","J Gumbo’s","1"
"126","bis","12/23/2015","Legends","1"
"127","bis","1/14/2016","Golden Harbor Authentic Chinese Cuisine","-1"
"128","bis","1/29/2016","J Gumbo’s","1"
"129","bis","3/7/2016","Rainbow Garden","0"
"130","bis","3/9/2016","Legends","0"
"131","bis","4/15/2016","A-Ri-Rang","1"
"132","bis","4/17/2016","Watson’s Shack &amp; Rail","1"
"133","bis","4/18/2016","A-Ri-Rang","1"
"134","bis","5/2/2016","The Red Herring Vegetarian Restaurant","0"
"135","bis","5/6/2016","301 Mongolia","0"
"136","bis","6/3/2016","The Red Herring Vegetarian Restaurant","1"
"137","bis","7/2/2016","Rainbow Garden","1"
"138","bis","7/25/2016","The Red Herring Vegetarian Restaurant","0"
"139","bis","9/2/2016","The Red Herring Vegetarian Restaurant","0"
"140","bis","10/25/2016","The Red Herring Vegetarian Restaurant","1"
"141","bis","10/26/2016","The Red Herring Vegetarian Restaurant","1"
"142","bis","10/26/2016","Legends","0"
